state,value
Alabama,1.0738877459766012
Alaska,1.2405513561582926
Arizona,0.9989902934816777
Arkansas,1.1409508239148343
California,1.0026510437286722
Colorado,0.9787812251083721
Connecticut,1.173207585175697
Delaware,1.4049963642637942
District of Columbia,1.4240394068698499
Florida,1.1408798565751037
Georgia,1.0502143342857548
Hawaii,1.2282343000271598
Idaho,1.0643889618922469
Illinois,0.9863315809150219
Indiana,0.949474202234886
Iowa,0.9804454248596842
Kansas,1.0039204191550948
Kentucky,1.1186035326123118
Louisiana,0.8998567932185111
Maine,1.2026729854588227
Maryland,1.0837786977794506
Massachusetts,1.0626848085921126
Michigan,1.020479993811522
Minnesota,0.9755639979363069
Mississippi,1.081318015975378
Missouri,0.9407853321251433
Montana,1.0592606587316582
Nebraska,1.0556730538434016
Nevada,1.2107851702050938
New Hampshire,1.2130675981097185
New Jersey,1.2309672434737315
New Mexico,1.2312352774460928
New York,1.15566513638683
North Carolina,1.0743595016815133
North Dakota,1.1703900432224132
Ohio,0.9767726916044517
Oklahoma,0.9968289779893766
Oregon,1.0106194359941023
Pennsylvania,0.9599209659885378
Rhode Island,1.5204320396497084
South Carolina,1.1008887735094417
South Dakota,1.1909966325988066
Tennessee,1.0629229893732126
Texas,1.014339660406472
Utah,0.8688000801500199
Vermont,1.4389468906037222
Virginia,1.062482575717829
Washington,0.8872866719213673
West Virginia,1.2412597454816996
Wisconsin,1.0081213504262032
Wyoming,1.5883821193555707
